order_id,fecha_pedido,departamento_destino,zona_logistica,modo_transporte,tipo_envio,distancia_km,tiempo_estimado_dias,tiempo_preparacion_horas,cantidad_productos,peso_kg,prioridad,dia_semana,carga_logistica,entrega_tardia
ORD-10044,2025-05-10,Cusco,Sierra Sur,Terrestre,Estándar,1208.82,6,5.55,3,5.24,Media,Sábado,Media,0
ORD-10045,2025-01-25,Lima,Lima y Callao,Terrestre,Estándar,90.67,4,5.09,4,4.63,Media,Sábado,Media,0
ORD-10046,2025-12-21,Junín,Sierra Centro,Terrestre,Estándar,339.53,5,7.37,5,5.45,Media,Domingo,Alta,1
ORD-10047,2025-06-12,Tumbes,Costa Norte,Terrestre,Express,1269.74,4,5.26,5,3.72,Alta,Jueves,Media,0
ORD-10048,2025-11-22,Cajamarca,Sierra Norte,Terrestre,Estándar,795.45,5,9.57,7,8.57,Baja,Sábado,Alta,0
ORD-10049,2025-09-05,Ica,Costa Sur,Terrestre,Estándar,254.76,3,2.9,1,1.02,Baja,Viernes,Media,0
ORD-10050,2025-10-12,Huánuco,Sierra Centro,Terrestre,Estándar,363.72,4,5.2,3,3.7,Media,Domingo,Alta,0
ORD-10051,2025-10-05,Lima,Lima y Callao,Terrestre,Estándar,134.65,2,7.56,4,5.14,Media,Domingo,Alta,0
ORD-10052,2025-03-13,Lima,Lima y Callao,Terrestre,Estándar,103.59,3,3.47,2,3.48,Media,Jueves,Media,0
ORD-10053,2025-05-13,Lima,Lima y Callao,Terrestre,Estándar,66.95,2,5.33,3,2.32,Media,Martes,Media,0
ORD-10054,2025-06-20,San Martín,Selva Norte,Multimodal,Estándar,1021.91,7,5.37,4,5.52,Media,Viernes,Media,0
ORD-10055,2025-07-01,Huancavelica,Sierra Centro,Terrestre,Express,542.82,2,9.83,6,9.19,Alta,Martes,Alta,0
ORD-10056,2025-01-16,Lima,Lima y Callao,Terrestre,Estándar,142.19,4,8.62,7,8.38,Media,Jueves,Media,0
ORD-10057,2025-07-19,Áncash,Costa Norte,Terrestre,Estándar,388.61,4,8.97,6,8.75,Baja,Sábado,Media,0
ORD-10058,2025-02-26,Cusco,Sierra Sur,Terrestre,Estándar,1028.62,5,7.71,6,8.3,Media,Miércoles,Media,0
ORD-10059,2025-09-29,Lambayeque,Costa Norte,Aéreo,Estándar,827.66,5,8.45,8,3.26,Media,Lunes,Baja,0
ORD-10060,2025-09-07,Áncash,Costa Norte,Terrestre,Estándar,487.83,4,5.43,3,2.67,Baja,Domingo,Alta,0
ORD-10061,2025-12-03,Lima,Lima y Callao,Terrestre,Express,140.92,2,6.37,3,9.23,Baja,Miércoles,Alta,0
ORD-10062,2025-09-29,Lima,Lima y Callao,Terrestre,Express,66.41,2,4.55,3,4.74,Media,Lunes,Media,0
ORD-10063,2025-05-14,Lima,Lima y Callao,Terrestre,Mismo Día,44.34,1,6.36,5,4.51,Media,Miércoles,Media,0
ORD-10064,2025-12-20,Lima,Lima y Callao,Terrestre,Estándar,80.27,4,7.84,4,5.99,Alta,Sábado,Alta,0
ORD-10065,2025-05-30,Lima,Lima y Callao,Terrestre,Express,66.68,2,0.9,1,1.59,Media,Viernes,Baja,0
ORD-10066,2025-04-29,La Libertad,Costa Norte,Terrestre,Express,668.09,3,10.78,7,16.49,Baja,Martes,Alta,0
ORD-10067,2025-11-27,Áncash,Costa Norte,Terrestre,Estándar,331.01,5,3.38,2,2.32,Media,Jueves,Media,0
ORD-10068,2025-05-16,Arequipa,Costa Sur,Terrestre,Estándar,1034.8,6,7.28,6,5.49,Media,Viernes,Alta,0
ORD-10069,2025-01-28,Lima,Lima y Callao,Terrestre,Estándar,139.18,3,5.71,5,4.94,Alta,Martes,Media,0
ORD-10070,2025-06-21,Ucayali,Selva Centro-Sur,Terrestre,Estándar,1053.47,6,9.09,7,6.61,Media,Sábado,Alta,1
ORD-10071,2025-10-18,Áncash,Costa Norte,Terrestre,Estándar,437.38,3,2.69,2,1.87,Media,Sábado,Media,0
ORD-10072,2025-03-11,Lima,Lima y Callao,Terrestre,Express,150.18,2,7.84,6,7.7,Alta,Martes,Alta,0
ORD-10073,2025-06-18,Lima,Lima y Callao,Terrestre,Express,36.2,2,7.23,6,6.03,Media,Miércoles,Media,0
ORD-10074,2025-02-17,Moquegua,Costa Sur,Terrestre,Express,1127.69,4,4.95,3,3.68,Baja,Lunes,Alta,0
ORD-10075,2025-09-08,Lima,Lima y Callao,Terrestre,Express,15.59,2,4.61,3,8.08,Media,Lunes,Media,0
ORD-10076,2025-06-23,Lima,Lima y Callao,Terrestre,Estándar,161.72,2,7.45,5,4.09,Media,Lunes,Media,0
ORD-10077,2025-05-01,Lima,Lima y Callao,Terrestre,Express,138.43,2,4.94,4,5.71,Media,Jueves,Media,0
ORD-10078,2025-03-24,Piura,Costa Norte,Terrestre,Estándar,877.14,5,5.34,8,6.05,Alta,Lunes,Baja,0
ORD-10079,2025-07-26,Arequipa,Costa Sur,Terrestre,Express,921.82,3,9.47,9,16.04,Baja,Sábado,Baja,1
ORD-10080,2025-09-02,Puno,Sierra Sur,Terrestre,Estándar,1337.41,7,11.78,10,19.28,Media,Martes,Alta,1
ORD-10081,2025-12-10,Áncash,Costa Norte,Terrestre,Estándar,382.38,4,6.94,4,3.6,Baja,Miércoles,Media,1
ORD-10082,2025-06-09,Pasco,Sierra Centro,Terrestre,Estándar,390.41,4,6.25,4,3.92,Baja,Lunes,Alta,0
ORD-10083,2025-02-28,Arequipa,Costa Sur,Terrestre,Estándar,964.91,6,4.64,4,6.27,Media,Viernes,Media,0
ORD-10084,2025-10-31,Callao,Lima y Callao,Terrestre,Mismo Día,53.87,1,6.05,3,3.28,Media,Viernes,Alta,1
ORD-10085,2025-08-18,Amazonas,Selva Norte,Terrestre,Estándar,1121.25,6,12.2,7,15.14,Media,Lunes,Alta,1
ORD-10086,2025-09-13,Lambayeque,Costa Norte,Terrestre,Estándar,771.66,5,4.39,5,3.49,Media,Sábado,Baja,0
ORD-10087,2025-02-05,Ica,Costa Sur,Terrestre,Estándar,259.58,4,6.32,3,6.23,Baja,Miércoles,Media,0
ORD-10088,2025-04-25,Cajamarca,Sierra Norte,Terrestre,Express,1039.02,3,9.45,6,19.0,Media,Viernes,Media,0
ORD-10089,2025-10-08,Lambayeque,Costa Norte,Aéreo,Express,795.27,3,4.88,3,4.54,Media,Miércoles,Alta,0
ORD-10090,2025-10-31,La Libertad,Costa Norte,Terrestre,Estándar,605.95,4,10.42,9,8.18,Media,Viernes,Media,0
ORD-10091,2025-06-08,Lima,Lima y Callao,Terrestre,Express,74.09,2,6.36,5,4.27,Media,Domingo,Alta,0
ORD-10092,2025-10-21,Piura,Costa Norte,Terrestre,Estándar,1041.54,6,3.79,3,3.45,Alta,Martes,Media,0
ORD-10093,2025-11-04,Lima,Lima y Callao,Terrestre,Express,123.64,2,10.06,7,11.52,Media,Martes,Media,0
ORD-10094,2025-05-22,Arequipa,Costa Sur,Terrestre,Estándar,1067.27,5,5.46,5,3.46,Media,Jueves,Media,0
ORD-10095,2025-11-24,Huánuco,Sierra Centro,Terrestre,Estándar,482.05,3,7.28,7,7.78,Media,Lunes,Baja,0
ORD-10096,2025-04-16,Puno,Sierra Sur,Terrestre,Estándar,1460.78,7,5.8,5,5.92,Media,Miércoles,Media,0
ORD-10097,2025-03-29,Arequipa,Costa Sur,Terrestre,Estándar,988.63,7,3.74,3,7.38,Alta,Sábado,Baja,1
ORD-10098,2025-09-07,La Libertad,Costa Norte,Terrestre,Express,637.09,3,7.01,5,13.14,Media,Domingo,Baja,0
ORD-10099,2025-08-21,San Martín,Selva Norte,Terrestre,Express,1064.86,3,4.71,3,3.58,Media,Jueves,Media,1
ORD-10100,2025-02-21,San Martín,Selva Norte,Terrestre,Express,1107.33,4,7.56,8,5.87,Media,Viernes,Media,0
ORD-10101,2025-10-31,La Libertad,Costa Norte,Terrestre,Estándar,713.45,5,6.58,5,6.23,Media,Viernes,Media,0
ORD-10102,2025-03-14,Lima,Lima y Callao,Terrestre,Estándar,163.42,4,7.37,6,7.68,Alta,Viernes,Media,0
ORD-10103,2025-10-21,Lambayeque,Costa Norte,Terrestre,Express,784.3,3,7.5,6,12.04,Alta,Martes,Baja,0
ORD-10104,2025-01-03,Lima,Lima y Callao,Terrestre,Express,93.0,2,7.2,7,7.01,Baja,Viernes,Media,0
ORD-10105,2025-10-18,Áncash,Costa Norte,Terrestre,Estándar,488.99,4,4.44,4,3.05,Baja,Sábado,Media,0
ORD-10106,2025-10-15,Ayacucho,Sierra Sur,Aéreo,Estándar,727.18,5,6.33,5,5.9,Media,Miércoles,Media,0
ORD-10107,2025-10-12,Lima,Lima y Callao,Terrestre,Estándar,117.29,2,3.15,4,4.38,Media,Domingo,Baja,0
ORD-10108,2025-08-31,Callao,Lima y Callao,Terrestre,Express,17.41,2,8.07,3,3.4,Alta,Domingo,Alta,0
ORD-10109,2025-06-22,Lima,Lima y Callao,Terrestre,Express,69.42,2,2.07,3,3.19,Media,Domingo,Media,0
ORD-10110,2025-09-15,Junín,Sierra Centro,Terrestre,Estándar,438.77,4,4.26,4,2.98,Alta,Lunes,Media,0
ORD-10111,2025-04-12,Piura,Costa Norte,Terrestre,Estándar,1008.36,6,8.31,5,8.02,Media,Sábado,Alta,0
ORD-10112,2025-10-12,Madre de Dios,Selva Centro-Sur,Multimodal,Estándar,1306.67,8,5.95,4,5.47,Baja,Domingo,Media,1
ORD-10113,2025-07-22,Lima,Lima y Callao,Terrestre,Express,103.2,2,6.22,4,3.81,Baja,Martes,Alta,0
ORD-10114,2025-06-17,Lima,Lima y Callao,Terrestre,Express,78.08,2,5.18,5,8.46,Media,Martes,Baja,0
ORD-10115,2025-07-04,Cusco,Sierra Sur,Terrestre,Estándar,1044.04,6,5.97,5,2.83,Baja,Viernes,Media,0
ORD-10116,2025-07-27,Lima,Lima y Callao,Terrestre,Estándar,121.74,3,5.07,3,3.25,Media,Domingo,Alta,0
ORD-10117,2025-01-14,Callao,Lima y Callao,Terrestre,Express,31.34,2,3.43,3,4.23,Media,Martes,Media,0
ORD-10118,2025-02-21,Piura,Costa Norte,Terrestre,Estándar,993.11,5,9.09,5,9.98,Media,Viernes,Alta,1
ORD-10119,2025-03-31,Madre de Dios,Selva Centro-Sur,Terrestre,Express,1300.75,4,6.99,4,3.87,Baja,Lunes,Alta,1
ORD-10120,2025-02-11,Puno,Sierra Sur,Terrestre,Estándar,1444.91,7,7.02,5,10.04,Alta,Martes,Media,1
ORD-10121,2025-06-10,Piura,Costa Norte,Terrestre,Express,941.64,3,5.51,4,3.48,Media,Martes,Media,0
ORD-10122,2025-09-01,Tacna,Costa Sur,Aéreo,Estándar,1353.27,7,5.87,5,8.7,Media,Lunes,Baja,0
ORD-10123,2025-08-27,Callao,Lima y Callao,Terrestre,Mismo Día,20.86,1,10.38,8,19.57,Media,Miércoles,Media,0
ORD-10124,2025-06-21,San Martín,Selva Norte,Terrestre,Estándar,996.32,6,3.05,3,2.48,Media,Sábado,Media,0
ORD-10125,2025-11-09,Lima,Lima y Callao,Terrestre,Estándar,78.27,4,5.71,3,4.52,Alta,Domingo,Media,0
ORD-10126,2025-07-26,La Libertad,Costa Norte,Terrestre,Estándar,550.46,5,3.73,2,3.32,Media,Sábado,Media,0
ORD-10127,2025-01-29,Lima,Lima y Callao,Terrestre,Express,149.52,2,3.92,2,1.55,Media,Miércoles,Media,0
ORD-10128,2025-10-07,Ica,Costa Sur,Terrestre,Express,341.83,2,6.56,4,6.02,Baja,Martes,Alta,0
ORD-10129,2025-07-29,Huancavelica,Sierra Centro,Terrestre,Express,435.84,2,9.65,6,5.67,Baja,Martes,Alta,1
ORD-10130,2025-08-20,Cusco,Sierra Sur,Terrestre,Express,1142.82,4,4.76,5,4.04,Media,Miércoles,Media,0
ORD-10131,2025-07-26,Arequipa,Costa Sur,Terrestre,Estándar,1016.57,6,10.8,10,9.47,Media,Sábado,Alta,1
ORD-10132,2025-07-22,Lima,Lima y Callao,Terrestre,Estándar,107.24,4,5.56,2,2.17,Media,Martes,Alta,0
ORD-10133,2025-02-03,Piura,Costa Norte,Terrestre,Estándar,1035.98,7,9.28,8,13.48,Alta,Lunes,Media,0
ORD-10134,2025-07-24,Lima,Lima y Callao,Terrestre,Estándar,93.32,3,5.97,4,4.88,Media,Jueves,Media,0
ORD-10135,2025-10-18,Lima,Lima y Callao,Terrestre,Estándar,43.68,3,8.56,5,16.76,Baja,Sábado,Media,1
ORD-10136,2025-04-21,La Libertad,Costa Norte,Terrestre,Estándar,526.58,4,6.99,7,6.93,Media,Lunes,Media,0
ORD-10137,2025-08-09,Lambayeque,Costa Norte,Terrestre,Estándar,782.77,5,4.35,3,4.75,Baja,Sábado,Media,1
ORD-10138,2025-01-12,Callao,Lima y Callao,Terrestre,Express,67.13,2,8.28,10,11.01,Media,Domingo,Media,0
ORD-10139,2025-05-07,Madre de Dios,Selva Centro-Sur,Terrestre,Estándar,1251.06,6,7.3,7,4.89,Media,Miércoles,Baja,1
ORD-10140,2025-06-09,Callao,Lima y Callao,Terrestre,Mismo Día,34.68,1,2.43,1,2.91,Media,Lunes,Media,0
ORD-10141,2025-12-25,Lima,Lima y Callao,Terrestre,Estándar,24.94,3,6.81,3,4.15,Media,Jueves,Alta,0
ORD-10142,2025-03-20,Lima,Lima y Callao,Terrestre,Estándar,141.14,3,3.14,4,3.69,Media,Jueves,Media,0
ORD-10143,2025-04-11,Lima,Lima y Callao,Terrestre,Express,69.87,2,5.57,6,8.5,Media,Viernes,Baja,0
ORD-10144,2025-05-30,Piura,Costa Norte,Terrestre,Estándar,996.55,7,7.47,4,7.88,Baja,Viernes,Alta,1
ORD-10145,2025-12-29,Huánuco,Sierra Centro,Terrestre,Express,494.72,2,9.22,5,4.54,Media,Lunes,Alta,1
ORD-10146,2025-11-08,Piura,Costa Norte,Terrestre,Estándar,931.64,6,7.12,6,7.57,Alta,Sábado,Baja,0
ORD-10147,2025-01-13,Lima,Lima y Callao,Terrestre,Express,33.64,2,9.87,6,11.96,Baja,Lunes,Alta,0
ORD-10148,2025-03-27,Loreto,Selva Norte,Multimodal,Estándar,1321.7,9,6.66,6,7.93,Media,Jueves,Media,0
ORD-10149,2025-10-27,Lima,Lima y Callao,Terrestre,Express,68.87,2,9.3,8,12.39,Baja,Lunes,Media,0
ORD-10150,2025-01-22,Piura,Costa Norte,Terrestre,Estándar,995.76,6,5.46,3,3.54,Media,Miércoles,Alta,1
ORD-10151,2025-11-09,Ucayali,Selva Centro-Sur,Terrestre,Estándar,970.68,5,6.89,4,2.59,Baja,Domingo,Alta,0
ORD-10152,2025-04-13,La Libertad,Costa Norte,Terrestre,Estándar,581.13,4,8.26,5,5.25,Media,Domingo,Alta,1
ORD-10153,2025-12-01,Loreto,Selva Norte,Aéreo,Estándar,1381.53,6,7.41,5,4.66,Baja,Lunes,Alta,1
ORD-10154,2025-04-18,Lima,Lima y Callao,Terrestre,Express,27.85,2,5.07,5,5.67,Media,Viernes,Baja,0
ORD-10155,2025-06-08,Lambayeque,Costa Norte,Aéreo,Estándar,754.0,4,3.66,4,3.7,Baja,Domingo,Baja,0
ORD-10156,2025-08-30,Puno,Sierra Sur,Terrestre,Estándar,1419.9,7,10.79,9,11.47,Media,Sábado,Alta,0
ORD-10157,2025-02-16,La Libertad,Costa Norte,Terrestre,Estándar,650.77,5,8.98,6,6.25,Baja,Domingo,Alta,0
ORD-10158,2025-07-23,Lima,Lima y Callao,Terrestre,Estándar,116.98,3,6.77,4,7.21,Media,Miércoles,Media,0
ORD-10159,2025-07-04,Arequipa,Costa Sur,Terrestre,Estándar,961.14,6,7.36,5,7.69,Alta,Viernes,Media,0
ORD-10160,2025-10-14,Callao,Lima y Callao,Terrestre,Estándar,41.73,3,5.52,5,4.32,Baja,Martes,Media,0
ORD-10161,2025-12-30,Pasco,Sierra Centro,Terrestre,Express,334.27,2,9.16,7,14.57,Alta,Martes,Media,0
ORD-10162,2025-08-31,La Libertad,Costa Norte,Terrestre,Express,705.95,3,8.41,6,5.41,Media,Domingo,Alta,1
ORD-10163,2025-05-30,La Libertad,Costa Norte,Terrestre,Express,630.41,3,8.46,8,5.88,Media,Viernes,Media,0
ORD-10164,2025-05-29,Cusco,Sierra Sur,Terrestre,Express,1182.15,4,6.72,4,8.16,Media,Jueves,Media,0
ORD-10165,2025-06-02,Lima,Lima y Callao,Terrestre,Express,48.24,2,7.82,6,5.48,Baja,Lunes,Alta,0
ORD-10166,2025-10-25,Loreto,Selva Norte,Aéreo,Estándar,1348.52,8,3.66,4,5.05,Media,Sábado,Baja,0
ORD-10167,2025-04-28,Piura,Costa Norte,Terrestre,Estándar,1009.01,6,5.27,4,2.95,Baja,Lunes,Media,0
ORD-10168,2025-03-02,Arequipa,Costa Sur,Terrestre,Estándar,998.27,5,5.07,4,4.33,Media,Domingo,Baja,1
ORD-10169,2025-05-03,Lima,Lima y Callao,Terrestre,Express,99.21,2,3.34,1,1.49,Media,Sábado,Media,0
ORD-10170,2025-01-09,Lambayeque,Costa Norte,Terrestre,Estándar,784.21,5,3.55,3,3.23,Alta,Jueves,Media,0
ORD-10171,2025-02-08,Lima,Lima y Callao,Terrestre,Express,168.03,2,5.87,3,3.19,Baja,Sábado,Alta,0
ORD-10172,2025-02-02,Lambayeque,Costa Norte,Terrestre,Express,748.64,3,7.04,8,9.84,Alta,Domingo,Media,0
ORD-10173,2025-10-09,La Libertad,Costa Norte,Terrestre,Estándar,681.27,5,6.96,4,7.52,Baja,Jueves,Media,0
ORD-10174,2025-09-21,Lambayeque,Costa Norte,Aéreo,Express,773.92,3,5.05,4,3.73,Media,Domingo,Media,0
ORD-10175,2025-09-12,Lima,Lima y Callao,Terrestre,Express,82.79,2,3.74,4,1.91,Media,Viernes,Baja,0
ORD-10176,2025-06-18,Lima,Lima y Callao,Terrestre,Estándar,88.49,4,6.27,3,6.32,Baja,Miércoles,Media,0
ORD-10177,2025-09-19,Lambayeque,Costa Norte,Terrestre,Estándar,760.09,5,6.84,7,6.58,Baja,Viernes,Media,0
ORD-10178,2025-02-28,Madre de Dios,Selva Centro-Sur,Terrestre,Estándar,1427.41,7,6.55,6,5.28,Media,Viernes,Media,0
ORD-10179,2025-11-25,Lima,Lima y Callao,Terrestre,Estándar,140.35,3,8.57,7,6.42,Baja,Martes,Alta,0
ORD-10180,2025-07-02,Ica,Costa Sur,Terrestre,Estándar,359.94,4,5.54,6,4.1,Media,Miércoles,Media,0
ORD-10181,2025-12-09,Loreto,Selva Norte,Aéreo,Estándar,1766.18,8,5.59,2,2.04,Alta,Martes,Alta,1
ORD-10182,2025-02-25,Piura,Costa Norte,Terrestre,Estándar,990.59,7,6.66,4,4.57,Media,Martes,Alta,0
ORD-10183,2025-07-01,Cajamarca,Sierra Norte,Terrestre,Express,880.82,3,5.68,4,6.1,Baja,Martes,Alta,1
ORD-10184,2025-09-12,Lima,Lima y Callao,Terrestre,Express,128.51,2,6.46,5,5.17,Baja,Viernes,Media,0
ORD-10185,2025-06-30,Huancavelica,Sierra Centro,Terrestre,Express,425.0,2,6.43,5,2.15,Baja,Lunes,Alta,0
ORD-10186,2025-06-12,Lima,Lima y Callao,Terrestre,Mismo Día,125.77,1,3.91,2,1.72,Media,Jueves,Media,0
ORD-10187,2025-03-02,Cusco,Sierra Sur,Terrestre,Estándar,1061.01,6,7.22,5,10.1,Media,Domingo,Media,1
ORD-10188,2025-05-20,Lima,Lima y Callao,Terrestre,Estándar,103.81,2,9.41,7,5.9,Baja,Martes,Alta,0
ORD-10189,2025-03-29,Cusco,Sierra Sur,Aéreo,Express,1038.73,3,7.9,4,6.43,Baja,Sábado,Alta,1
ORD-10190,2025-04-21,Lima,Lima y Callao,Terrestre,Express,73.86,2,5.85,5,4.5,Media,Lunes,Media,0
ORD-10191,2025-09-07,San Martín,Selva Norte,Terrestre,Express,946.17,3,7.6,6,10.56,Media,Domingo,Baja,1
ORD-10192,2025-08-19,Junín,Sierra Centro,Terrestre,Estándar,355.47,3,5.97,4,5.01,Media,Martes,Media,0
ORD-10193,2025-08-10,Piura,Costa Norte,Terrestre,Estándar,953.53,5,4.32,5,3.03,Alta,Domingo,Media,0
ORD-10194,2025-05-13,Ucayali,Selva Centro-Sur,Multimodal,Estándar,822.91,6,3.85,2,1.63,Baja,Martes,Alta,0
ORD-10195,2025-12-17,Piura,Costa Norte,Terrestre,Express,930.57,3,6.53,5,3.27,Media,Miércoles,Alta,1
ORD-10196,2025-02-01,Cajamarca,Sierra Norte,Terrestre,Estándar,902.66,5,7.35,5,9.11,Alta,Sábado,Media,0
ORD-10197,2025-05-06,Madre de Dios,Selva Centro-Sur,Aéreo,Estándar,1182.66,6,3.25,4,3.05,Media,Martes,Baja,0
ORD-10198,2025-02-13,Áncash,Costa Norte,Terrestre,Estándar,471.56,4,3.19,5,5.08,Media,Jueves,Baja,0
ORD-10199,2025-05-04,La Libertad,Costa Norte,Terrestre,Express,563.26,3,4.26,4,4.59,Media,Domingo,Media,0
ORD-10200,2025-12-18,Piura,Costa Norte,Terrestre,Estándar,976.26,7,3.96,2,3.22,Media,Jueves,Media,0
ORD-10201,2025-05-14,Lima,Lima y Callao,Terrestre,Estándar,50.37,3,10.76,9,8.73,Media,Miércoles,Alta,0
ORD-10202,2025-11-28,Lima,Lima y Callao,Terrestre,Estándar,88.46,3,7.8,6,3.65,Media,Viernes,Media,0
ORD-10203,2025-06-30,La Libertad,Costa Norte,Terrestre,Estándar,618.11,4,9.88,8,5.76,Media,Lunes,Alta,0
ORD-10204,2025-09-13,Loreto,Selva Norte,Aéreo,Estándar,1435.61,6,4.75,5,3.74,Media,Sábado,Baja,0
ORD-10205,2025-06-16,Lima,Lima y Callao,Terrestre,Estándar,79.15,3,2.14,3,1.25,Media,Lunes,Baja,0
